"meaning_id","unit_id","full_entry","meaning","article_gender","meaning_gender","gendered","comment","suffix","suffix_bVc","suffix_ak","deverbal","infinitive","russian_borrowing","human","sex=f","sex=m","ind_spec","mass_abstr","large","small","animal","water","tree","fruit","tech_transport","cultural_product","household_object","food","drink","plant","event","pos","neg","weather","body_part","building","landscape","diary_product","sickness","meanings_concatenated","meaning_with_examples","label_id","forms_id","gloss_id","gloss","form","all_forms","source"
1249,671,"АБЛАГАРИ, АБЛАГИ м. глупость, дурость; ш. аблагари мā-к не делай глупости; б. ди аблаги ту чāй римоδҷ? кто тебя надоумил на такую глупость?","глупость, дурость","m","m",0,,"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"глупость, дурость","глупость, дурость; не делай глупости; кто тебя надоумил на такую глупость?",,3923,20,"word","ablagari","ablagari ablagi",2
1258,677,"АБОТĀ 1. 1) глупец, дурак, дурачок; ш. йу аботā, ар чӣз wи ғêв-ти йоδд, йу лāқт он дурак, несет (все), что придет ему в голову (букв. на язык); 2) м. глупость; ерунда, чепуха; ш. башāнд гā́п-ат ди на́-фāмт, аботā мā́-лу̊в если не знаешь хороших слов, не болтай глупости; б. ху ғêв аботā мā́-wеδ не мели ерунду; 2. глупый, бестолковый; ш. ту-нд ту кор аботā у тебя (твоя) работа бестолковая; ш. йā аботā ɣ̌и-ник нист она женщина не глупая; 3. (часто с аθ) зря, бестолку, напрасно; ш. wу́з-ум аботā-θ сут, на́-вирӯд-ум wи я бестолку ходил, не нашел его. Ср. хапчā.","глупец, дурак, дурачок",,,0,"abstr human",,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"глупец, дурак, дурачок; глупость; ерунда, чепуха; глупый, бестолковый; (часто с *аθ*) зря, бестолку, напрасно","глупец, дурак, дурачок; он дурак, несет (все), что придет ему в голову (букв. на язык)",,3930,20,"word","abotā","abotā",2
1265,681,"АБРАЙЕҶ м. ткань для лицевой стороны одежды.","ткань для лицевой стороны одежды","m","m",0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"ткань для лицевой стороны одежды","ткань для лицевой стороны одежды",,3934,20,"word","abrayeǰ","abrayeǰ",2
1271,687,"шб. АБРЕХ̌УМ, ш. тж. ВИРЕХ̌УМ м. 1) шелк, шелковая ткань; шелковая одежда; ш. абрех̌у́м-та ҷāлд цуғ на́-су̊д шелковая одежда долго не изнашивается; 2) шелк, шелковые нитки; ш. дӯсик вирех̌ум му-рд дāк, тоқи анцāм дай мне немножко шелковых ниток, буду вышивать тюбетейку.","шелк, шелковая ткань; шелковая одежда","m","m",0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"шелк, шелковая ткань; шелковая одежда; шелк, шелковые нитки","шелк, шелковая ткань; шелковая одежда; шелковая одежда долго не изнашивается","10.0",3940,20,"word","abrex̌um","abrex̌um virex̌um",2
1274,689,"А́БРИ, (Ҳ)А́БРÊ м. облако, туча; ш. йида а́бри во на́х̌-тӯйд вот опять появились тучи; б. ҳа́бри а́чаθ на́-ред, аwо чӯд облаков совсем не осталось, распогодилось; а́бри тӣждоw покрываться облаками; заволакиваться тучами; ш. ши́ч-та во а́бри тожд ху, динйо́-та δед теперь опять (небо) заволокут тучи, и выпадут осадки; а́бри ч. хмуриться, становиться пасмурной (о погоде); ш. а́бри ца ких̌т, самало́т-а пи Помер на́-тӣзд как становится пасмурно, самолет на Памир не летит; б. заму̊нā ида а́бри чу вот небо опять нахмурилось. Ср. шӣнā.","облако, туча","m","m",0,,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"облако, туча","облако, туча; вот опять появились тучи; облаков совсем не осталось, распогодилось; вот небо опять нахмурилось",,3944,20,"word","abri","abri habrê abrê",2
1282,697,"ш. АБӮБĀК, б. БУБӮБĀК м. удод; ш. абӯбāк риwух̌т удод улетел.","удод","m","m",0,"animal",,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"удод","удод; удод улетел",,3954,20,"word","abūbāk","abūbāk",2
1302,717,"А́W-А́W 1 м. звукоподр. тявканье, лай; аw-аw ч. а) лаять, тявкать; б) перен. ворчать, ругаться; б. лан аw-аw мā-к! не ругайся очень-то!","тявканье, лай","m","m",0,"onomatopoeia",,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"тявканье, лай","тявканье, лай",,3979,20,"word","aw-aw","aw-aw",2
1304,719,"А́W-А́W 2 м. слух, слухи; известие, вести; ш. дис а́w-а́w вуд иди, йу́-та ɣ̌ин вӣрт были такие слухи, что он женится; б. мā́ш-āм мис тама йатоw а́w-а́w х̌уд и мы слышали весть о вашем приезде. Ср. дарак, сартиқ.","слух, слухи; известие, вести","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"слух, слухи; известие, вести","слух, слухи; известие, вести; были такие слухи, что он женится; и мы слышали весть о вашем приезде",,3981,20,"word","aw-aw","aw-aw",2
1310,725,"АWАС м. желание, охота, мечта; увлечение, интерес, тяга; ш. ту-нд чӣз аwас? к чему у тебя интерес?; б. гӯх̌т аwа́с-ум йиθч мне захотелось мяса; аwас ч. хотеть, желать; мечтать; интересовать(ся), увлекать(ся); ш. йā мис х̌êйдоw аwас ких̌т она тоже хочет учиться; б. Сафа́р-ирд-ум лу̊вд: ""Аwа́си ɣ̌ин вӣд ғал мā-к"" я сказал Сафару: ""Жениться пока не мечтай""; аwас пӣр сут см. пӣр.","желание, охота, мечта; увлечение, интерес, тяга","m","m",0,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"желание, охота, мечта; увлечение, интерес, тяга","желание, охота, мечта; увлечение, интерес, тяга; к чему у тебя интерес?; мне захотелось мяса",,3987,20,"word","awas","awas",2
1325,736,"ш. АWЕҶ-ХУХ̌ПĀ ж. похлебка; каша (из смеси просяной и гороховой муки); ш. ма́х̌-ат пӣнҷин йо́ɣ̌ҷ-ат тух̌п ӣакҷо ки́нен ху, даδ ки́нен аwеҷ-хух̌пā смешивают просяную муку, горох, сушеное пахтанье и затем готовят похлебку ""аwеҷ-хух̌пā"".","похлебка; каша (из смеси просяной и гороховой муки)","f","f",0,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"похлебка; каша (из смеси просяной и гороховой муки)","похлебка; каша (из смеси просяной и гороховой муки); смешивают просяную муку, горох, сушеное пахтанье и затем готовят похлебку ""аwеҷ-хух̌пā""",,4001,20,"word","aweǰ-xux̌pā","aweǰ-xux̌pā",2
