"forms_id","unit_id","gloss_id","gloss","form","source"
3923,671,20,"word","ablagari",2
3924,671,20,"word","ablagi",2
3930,677,20,"word","abotā",2
3934,681,20,"word","abrayeǰ",2
3940,687,20,"word","abrex̌um",2
3941,687,20,"word","virex̌um",2
3944,689,20,"word","abri",2
3945,689,20,"word","habrê",2
3946,689,20,"word","abrê",2
3954,697,20,"word","abūbāk",2
3979,717,20,"word","aw-aw",2
3981,719,20,"word","aw-aw",2
3987,725,20,"word","awas",2
4001,736,20,"word","aweǰ-xux̌pā",2
4018,752,20,"word","awobalandi",2
4019,753,20,"word","awo-bucak",2
4020,754,20,"word","awogi",2
4021,754,20,"word","awoyi",2
4037,765,20,"word","awopaymoyi",2
4039,767,20,"word","awoxoyi",2
4045,773,20,"word","awʒ",2
4046,773,20,"word","awz",2
4058,782,20,"word","awqotwori",2
4079,798,20,"word","adab",2
4082,801,20,"word","adabiyot",2
4087,805,20,"word","adāɣ̌ʒ",2
4088,805,20,"word","adāx̌c",2
4097,811,20,"word","adli",2
4115,826,20,"word","aždar",2
4116,826,20,"word","aždahor",2
4117,826,20,"word","aždaor",2
4118,826,20,"word","ažduhor",2
4119,826,20,"word","ažduor",2
4245,854,20,"word","azīz",2
4257,865,20,"word","azoyim",2
4339,903,20,"word","ayb",2
4345,909,20,"word","aybnůmā",2
4348,911,20,"word","aybpūx̌i",2
4349,911,20,"word","aybpūši",2
4352,913,20,"word","aywůngari",2
4353,913,20,"word","aywůni",2
4354,913,20,"word","ewůni",2
4357,916,20,"word","aywůnot",2
4358,917,20,"word","ayd",2
4359,917,20,"word","āyd",2
4360,917,20,"word","yīd",2
4361,917,20,"word","īd",2
4363,919,20,"word","aykal",2
4364,919,20,"word","ekal",2
4365,919,20,"word","yekal",2
4368,921,20,"word","aymůn",2
4369,921,20,"word","emůn",2
4370,921,20,"word","emůn",2
4371,921,20,"word","aymun",2
4372,921,20,"word","yemun",2
4381,928,20,"word","ayori",2
4385,932,20,"word","ayoti",2
4403,944,20,"word","ayům",2
4421,961,20,"word","akak",2
4449,980,20,"word","alabi",2
4465,991,20,"word","alam",2
4488,1008,20,"word","alwo",2
4496,1014,20,"word","alif",2
4526,1033,20,"word","almos-žīr",2
4536,1040,20,"word","alow",2
4562,1064,20,"word","aloqā",2
4582,1082,20,"word","alɣ̌anǰol",2
4583,1083,20,"word","alq",2
4608,1100,20,"word","amal",2
4620,1112,20,"word","amaǰī",2
4621,1112,20,"word","amaǰīd",2
4624,1114,20,"word","ambar",2
4625,1115,20,"word","ambax̌c",2
4626,1115,20,"word","anbax̌c",2
4639,1123,20,"word","ambur",2
4640,1123,20,"word","anbur",2
4695,1165,20,"word","amo",2
4707,1175,20,"word","amoč",2
4747,1205,20,"word","amům",2
4748,1205,20,"word","ammům",2
4756,1212,20,"word","amůnati",2
4758,1214,20,"word","amůni",2
4781,1231,20,"word","angix̌t",2
4784,1232,20,"word","angix̌tak",2
