meaning_id,unit_id,full_entry,meaning,russian_borrowing,article_gender,meaning_gender,gendered,comment,suffix,suffix_bVc,suffix_ak,deverbal,infinitive,stress,human,sex=f,sex=m,indspec,massabstr,large,small,animals,water,trees,fruit,techtransport,culturalprod.,name,householdobjects,food,drink,plants,events,pos,neg,weather,bodyparts,buildings,landscape,milkprod.,sicknesses,meanings_concatenated,meaning_with_examples,label_id
1960,1275,"ш. АНȤЕМ(АК), б. ИНȤЕМ(АК) ж. годовалая овечка, ярка. Ср. анȥу̊м(ак), тухли.","годовалая овечка, ярка",0,f,f,0,animal,(ak),0,1,0,0,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"годовалая овечка, ярка","годовалая овечка, ярка",
2065,1352,шх. АРΔӮНҶ(АК) 2 ж. мельничный ковш (из которого зерно высыпается на жернов); шх. ках̌т ас ду̊р ар арδу̊нҷак δод зерно из мельничной корзины высыпалось в ковш. Ср. тоθчак.,мельничный ковш (из которого зерно высыпается на жернов),0,f,f,0,,(ak),0,1,0,0,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,мельничный ковш (из которого зерно высыпается на жернов),мельничный ковш (из которого зерно высыпается на жернов); зерно из мельничной корзины высыпалось в ковш,
3073,2193,"шх. БĀҶИБ, БАҶИБ, б. БĀҶИБ(АК) ж. 1) шх. деревянная черпачка для муки; лопаточка; шх. бāҷи́б-ец-та йоɣ̌ҷ би́х̌чен лопаточкой черпают муку",деревянная черпачка для муки; лопаточка,0,f,f,0,,(ak),0,1,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"деревянная черпачка для муки; лопаточка; деревянная лопаточка (для толокна пих̌т, см.)",деревянная черпачка для муки; лопаточка; лопаточкой черпают муку,11.0
3881,2897,БОБШИҚАРθЕНЦ(АК) 1) ж. червь (величиной с мизинец); 2) перен. мизинец; ш. йам бобшиқарθенцак ангих̌т этот палец-мизинец.,червь (величиной с мизинец),0,f,f,0,animal,(ak),0,1,0,0,,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,червь (величиной с мизинец); мизинец,червь (величиной с мизинец),
3882,2897,БОБШИҚАРθЕНЦ(АК) 1) ж. червь (величиной с мизинец); 2) перен. мизинец; ш. йам бобшиқарθенцак ангих̌т этот палец-мизинец.,мизинец,0,f,f,0,,(ak),0,1,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,червь (величиной с мизинец); мизинец,мизинец; этот палец-мизинец,
4682,3585,WÊПЦ(АК) ж. моль; ш. ди wу̊н-и wêпц δод моль изъела шерсть ш. дам wêпц ас дам пиле̂́с-ти питêw стряхни моль с того паласа; б. wêпц дори му-рд дāк дай мне средство против моли; б. wêпц δоδҷин гилӣм изъеденный молью халат; б. му гилӣм-и wêпц δод моль изъела мой халат.,моль,0,f,f,0,animal,(ak),0,1,0,0,,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,моль,моль; дай мне средство против моли; изъеденный молью халат; моль изъела мой халат; моль изъела шерсть; стряхни моль с того паласа,
4754,3647,"WИНӢР, WИНӢРАК м. кормушка для скота, ясли, стойло; ш. ар wинӣрак wох̌ вуд в стойле было сено; б. му жоw wинӣр рихух̌т повалилось стойло моей коровы; wинӣр δ. (δи) неодобр. застывать на месте, не двигаться, сидеть неподвижно, как колода; ш. йу х̌ӣҷ рā́нг-ти wинӣр δоδҷ ху, нӯсч он как бык застыл и ни с места; ш. йу wинӣр δоδҷ ху, на́-wуцт он уселся на одном месте и не двигается. Ср. охур.","кормушка для скота, ясли, стойло",0,m,m,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"кормушка для скота, ясли, стойло","кормушка для скота, ясли, стойло; в стойле было сено; повалилось стойло моей коровы",
5170,4014,"ГАХ̌НӢȤ(АК) ж. украшение в виде броши; ш. гах̌нӣȥак бех̌ нуқрайин, сифц мобен йā брошь чаще (бывает) серебряной, она располагается в центре ожерелья.",украшение в виде броши,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,украшение в виде броши,"украшение в виде броши; брошь чаще (бывает) серебряной, она располагается в центре ожерелья",
5271,4107,"ГИРДБОД(АК) м. вихрь, смерч; ш. гирдбодак андӯйд поднялся вихрь; ш. йид гирдбо́д-та шич дев wêбен йêст сейчас смерч унесет снопы.","вихрь, смерч",0,m,m,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"вихрь, смерч","вихрь, смерч; поднялся вихрь; сейчас смерч унесет снопы",
5335,4169,"ГОWБУ̊Н(АК) ж. ""Пастушок"" (название популярной памирской сказки).","""Пастушок"" (название популярной памирской сказки)",0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"""Пастушок"" (название популярной памирской сказки)","""Пастушок"" (название популярной памирской сказки)",
5598,4407,"ДАКУ̊Н, ДАКУ̊НАК ш. ж., дукон; нары; ш. ар чӣд дарӯн δу даку̊нак ких̌т внутри дома он делает двое нар; б. йам даку̊н чи мӣȥҷин? кем построены эти нары?; ш. дам мāш даку̊́н-ти ғал ниθ присядь пока на этих моих нарах; б. му даку̊н рихух̌т мои нары развалились. Ср. дӯку̊н.","дукон; нары, сооружаемые во дворе около дома в жаркое время",0,f,f,0,,(ak),0,1,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"дукон; нары, сооружаемые во дворе около дома в жаркое время","дукон; нары, сооружаемые во дворе около дома в жаркое время; внутри дома он делает двое нар; кем построены эти нары?; присядь пока на этих моих нарах; мои нары развалились",
5853,4644,ДАС(Т)-ПОКУН(АК) м. носовой платок; ш. ми ху дас-покун мā́-ринêс не забудь этот свой платок.,носовой платок,0,m,m,0,,(ak),0,1,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,носовой платок,носовой платок; не забудь этот свой платок,
5984,4759,"ДЕКТОЛ(АК) ж. котелок; кастрюлька; ш. wам дектолак дāк, х̌ӯвд арам ки́нум дай кастрюльку, налью туда молока.",котелок; кастрюлька,0,f,f,0,,(ak),0,1,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,котелок; кастрюлька,"котелок; кастрюлька; дай кастрюльку, налью туда молока",
6554,5259,ш. ΔЕW-РИВАНД(АК) ж. дикорастущий горох. Ср. марх̌анд.,дикорастущий горох,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,дикорастущий горох,дикорастущий горох,
8792,7243,"КĀШ 2, КĀШАК ж. каша; ш. мам кāш хāр ешь эту кашу.",каша,1,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,каша,каша; ешь эту кашу,
9036,7454,"КӢНА-ПАЛÊС(АК), КУ̊НА-ПАЛÊС(АК) ж. старый палас.",старый палас,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,старый палас,старый палас,
9390,7780,"КУ̊Р(АК)-БÊРȤ(АК) (< ку̊рак + пêрȥ) ж. пол-ядрышка грецкого ореха; ш. ку̊р-бêрзак ас боҷа́к-анд зиwêстоw на́-бофт пол-ядрышка не вынуть из ореха; тар ку̊рак йêдоw, тар ку̊рак бизӣдоw обманывать, обводить вокруг пальца; хитрить; ш. ту дод му́-йи тар ку̊рак йод твой отец обвел меня вокруг пальца; б. йак-бор wи тар ку̊рак бизӣн ты обмани его разок.",пол-ядрышка грецкого ореха,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,пол-ядрышка грецкого ореха,пол-ядрышка грецкого ореха; пол-ядрышка не вынуть из ореха,
10108,8414,"ш. МАƔ̌-ДӮΔ(АК); б. МАW-ДӮΔ(АК); (ш. маɣ̌, б. маw, тӯδ) ж. 1) ""мавдудак""(сорт тутовника с крупными ягодами); 2) название дикого растения; б. маwдӯδа́к-ти рӯшт-рӯшт бāрā растение ""мавдудак"" имеет красные-красные плоды.","""мавдудак""(сорт тутовника с крупными ягодами)",0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"""мавдудак""(сорт тутовника с крупными ягодами); название дикого растения","""мавдудак""(сорт тутовника с крупными ягодами)",
10109,8414,"ш. МАƔ̌-ДӮΔ(АК); б. МАW-ДӮΔ(АК); (ш. маɣ̌, б. маw, тӯδ) ж. 1) ""мавдудак""(сорт тутовника с крупными ягодами); 2) название дикого растения; б. маwдӯδа́к-ти рӯшт-рӯшт бāрā растение ""мавдудак"" имеет красные-красные плоды.",название дикого растения,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"""мавдудак""(сорт тутовника с крупными ягодами); название дикого растения","название дикого растения; растение ""мавдудак"" имеет красные-красные плоды",
12839,10799,ПИШ-ВИДИРМ(АК) ж. мягкий веничек для подметания очага.,мягкий веничек для подметания очага,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,мягкий веничек для подметания очага,мягкий веничек для подметания очага,
13317,11234,ПӮЛДУ̊(АК) ж. копилка; кошелек для денег; ш. ми ар дам ху пӯлду̊нак риби положи это в свой кошелек.,копилка; кошелек для денег,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,копилка; кошелек для денег,копилка; кошелек для денег; положи это в свой кошелек,
13784,11648,"РОШТ-WĀН(АК) ж. 1. вид ивы; верба; шх. wāн ара хел: йӣw сафе-wāн, йӣw рошт-wāн, йӣw цӣнак ива (имеет) три вида: одна белая ива, другая красная ива и, наконец, кустарник ивняка; б. рошт-wāнак йӣw wāн, ат йӣw пахтā дастӯр верба (бывает) двух родов, одна как ива, а другая напоминает хлопок; 2. назв. местности в Баджуве: Рош(т)-wāнак.",вид ивы; верба,0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,вид ивы; верба; назв. местности в Баджуве: Рош(т)-wāнак,"вид ивы; верба; ива (имеет) три вида: одна белая ива, другая красная ива и, наконец, кустарник ивняка; верба (бывает) двух родов, одна как ива, а другая напоминает хлопок",
13914,11758,"РӮШТ-ФИЛУХ, ж. РОШТ-ФИЛАХ красный-красный; очень красный.",красный-красный; очень красный,0,fm,fm,0,adjective,(ak),0,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,красный-красный; очень красный,красный-красный; очень красный,
13940,11782,"РУ̊ПЦ(АК) ж. 1) лиса, лисица; ш. wа́м-анд мис ру̊пц дастӯр δум и у нее такой же хвост, как у лисицы; б. ру̊пца́к-ум δод фархӣр, йā даδ йи ме́θ-ги йат ху ар қапқен ингихт лису я приманил, однажды она пришла и попала в капкан; 2) перен. хитрец, лиса; б. аҷаб ру̊пцак ғиδā-т ту нист, во-т wи фāнд δод какой хитрец ты, мальчик, опять (ты) обманул его.","лиса, лисица",0,f,f,0,animal,(ak),0,1,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"лиса, лисица; хитрец, лиса","лиса, лисица; и у нее такой же хвост, как у лисицы; лису я приманил, однажды она пришла и попала в капкан",
13941,11782,"РУ̊ПЦ(АК) ж. 1) лиса, лисица; ш. wа́м-анд мис ру̊пц дастӯр δум и у нее такой же хвост, как у лисицы; б. ру̊пца́к-ум δод фархӣр, йā даδ йи ме́θ-ги йат ху ар қапқен ингихт лису я приманил, однажды она пришла и попала в капкан; 2) перен. хитрец, лиса; б. аҷаб ру̊пцак ғиδā-т ту нист, во-т wи фāнд δод какой хитрец ты, мальчик, опять (ты) обманул его.","хитрец, лиса",0,f,,0,abstr human,(ak),0,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"лиса, лисица; хитрец, лиса","хитрец, лиса; какой хитрец ты, мальчик, опять (ты) обманул его",12.0
13950,11791,"шб. РУ̊ПЦРӢЗ(АК), ш. тж. РУ̊ПЦРӢЗМ(АК) м. бот. виноградовник (Аmpelopsis vitifolia; употр. как масличное при изготовлении массы для облепливания свечей-лучин); ру̊пцрӣза́к-āм йӯд ху, да́δ-āм цироw чӯд мы измельчили семена ""ру̊пцрӣз"" и изготовили свечи.",виноградовник (Аmpelopsis vitifolia; употр. как масличное при изготовлении массы для облепливания свечей-лучин),0,m,m,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,виноградовник (Аmpelopsis vitifolia; употр. как масличное при изготовлении массы для облепливания свечей-лучин),"виноградовник (Аmpelopsis vitifolia; употр. как масличное при изготовлении массы для облепливания свечей-лучин); мы измельчили семена ""ру̊пцрӣз"" и изготовили свечи",
13964,11805,"шб. САБÊЦ(АК), ш. тж. САБÊȤ(АК) ж. недозревший горох (в стручке); ш. нофирӣпт ца вид, сабêц лу̊́вен если (горох) еще недозревший, его называют ""сабец""; сабêц гāх̌тоw разбухать (как стручок); ш. йу х̌ӣҷ ду̊́нд-и хӯɣ̌ҷ, сабêц гāх̌ч бык так наелся, (что) разбух (как стручок).",недозревший горох (в стручке),0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,недозревший горох (в стручке),"недозревший горох (в стручке); если (горох) еще недозревший, его называют ""сабец""",
14236,12044,"САРБĀНД(АК) ж. веревка, завязка; ш. wи δо́рг-ум мис йи сарбāнда́к-ец вӯст я обвязал веревкой то бревно; ш. wам сарбāнд зи ху, сāw пис жӣз возьми веревку и сходи за дровами. Ср. сарбандак.","веревка, завязка",0,f,f,0,,(ak),0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"веревка, завязка","веревка, завязка; я обвязал веревкой то бревно; возьми веревку и сходи за дровами",
14682,12441,"ш. СИГ, СИГАК м. 1) усики колосьев, ость; ш. бобило-ду̊ғм бе сиг, дис жинда́м-та тез фиропт семена ""бобило"" без остей, (такая) безостая пшеница быстро созревает; 2) рыбьи кости; ш. ди мойи сиг мā́-хāр не ешь костей от рыбы; 3) первое оперение птенцов, острые перышки; б. йид зарӣȥ-буц си́г-инд эта куропаточка (покрыта) торчащими перышками.",рыбьи кости,0,m,m,0,,(ak),0,1,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"усики колосьев, ость; рыбьи кости; первое оперение птенцов, острые перышки",рыбьи кости; не ешь костей от рыбы,
